order_id,customer_id,product_id,quantity,unit_price,total_amount,order_status,order_date,campaign_id
O001,C001,P003,1,129.99,129.99,completed,2023-11-01,CAM001
O002,C002,P001,2,89.99,179.98,completed,2023-11-02,CAM002
O003,C003,P004,1,159.99,159.99,completed,2023-11-03,CAM001
O004,C004,P007,1,99.99,99.99,completed,2023-11-04,CAM003
O005,C005,P002,3,34.99,104.97,completed,2023-11-05,CAM002
O006,C006,P010,1,74.99,74.99,completed,2023-11-06,CAM001
O007,C007,P005,1,79.99,79.99,shipped,2023-11-07,CAM003
O008,C008,P006,2,49.99,99.98,shipped,2023-11-08,CAM002
O009,C009,P009,1,59.99,59.99,shipped,2023-11-09,CAM001
O010,C010,P003,1,129.99,129.99,completed,2023-11-10,CAM003
O011,C011,P001,1,89.99,89.99,completed,2023-11-11,CAM002
O012,C001,P008,2,24.99,49.98,completed,2023-11-12,CAM001
O013,C012,P004,1,159.99,159.99,cancelled,2023-11-13,CAM003
O014,C013,P007,2,99.99,199.98,completed,2023-11-14,CAM002
O015,C014,P002,1,34.99,34.99,completed,2023-11-15,CAM001
O016,C015,P010,2,74.99,149.98,shipped,2023-11-16,CAM003
O017,C016,P005,1,79.99,79.99,completed,2023-11-17,CAM002
O018,C017,P006,1,49.99,49.99,completed,2023-11-18,CAM001
O019,C018,P009,2,59.99,119.98,completed,2023-11-19,CAM003
O020,C019,P003,1,129.99,129.99,cancelled,2023-11-20,CAM002
O021,C020,P001,3,89.99,269.97,completed,2023-11-21,CAM001
O022,C002,P007,1,99.99,99.99,completed,2023-11-22,CAM003
O023,C003,P010,1,74.99,74.99,completed,2023-11-23,CAM002
O024,C004,P008,3,24.99,74.97,shipped,2023-11-24,CAM001
O025,C005,P004,1,159.99,159.99,completed,2023-11-25,CAM003
O026,C006,P002,2,34.99,69.98,completed,2023-11-26,CAM002
O027,C007,P009,1,59.99,59.99,completed,2023-11-27,CAM001
O028,C008,P005,1,79.99,79.99,completed,2023-11-28,CAM003
O029,C009,P006,2,49.99,99.98,shipped,2023-11-29,CAM002
O030,C010,P001,1,89.99,89.99,completed,2023-11-30,CAM001
O031,C011,P003,1,129.99,129.99,completed,2023-12-01,CAM003
O032,C012,P007,1,99.99,99.99,completed,2023-12-02,CAM002
O033,C013,P010,2,74.99,149.98,completed,2023-12-03,CAM001
O034,C014,P004,1,159.99,159.99,shipped,2023-12-04,CAM003
O035,C015,P002,2,34.99,69.98,completed,2023-12-05,CAM002
O036,C016,P008,1,24.99,24.99,completed,2023-12-06,CAM001
O037,C017,P009,1,59.99,59.99,completed,2023-12-07,CAM003
O038,C018,P005,2,79.99,159.98,completed,2023-12-08,CAM002
O039,C019,P006,1,49.99,49.99,cancelled,2023-12-09,CAM001
O040,C020,P003,1,129.99,129.99,completed,2023-12-10,CAM003
O041,C001,P007,1,99.99,99.99,completed,2023-12-11,CAM002
O042,C002,P004,1,159.99,159.99,completed,2023-12-12,CAM001
O043,C003,P001,2,89.99,179.98,shipped,2023-12-13,CAM003
O044,C004,P010,1,74.99,74.99,completed,2023-12-14,CAM002
O045,C005,P008,3,24.99,74.97,completed,2023-12-15,CAM001
O046,C006,P003,1,129.99,129.99,completed,2023-12-16,CAM003
O047,C007,P002,2,34.99,69.98,completed,2023-12-17,CAM002
O048,C008,P009,1,59.99,59.99,shipped,2023-12-18,CAM001
O049,C009,P005,1,79.99,79.99,completed,2023-12-19,CAM003
O050,C010,P006,2,49.99,99.98,completed,2023-12-20,CAM002